vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
scalus-jit,uniswap-2,32994,32994,32994,32994,0,1
chrysalis,uniswap-3,1627479,1643430,1593813,1645194,29169,3
chrysalis-aot,uniswap-3,1669228,1681211,1639651,1686821,25767,3
scalus-cek,uniswap-3,1190092,1190092,1190092,1190092,0,1
chrysalis,uniswap-4,314878,313737,312997,317901,2643,3
chrysalis-aot,uniswap-4,304169,303931,302938,305636,1364,3
scalus-cek,uniswap-4,224312,224312,224312,224312,0,1
scalus-jit,uniswap-4,55946,55946,55946,55946,0,1
chrysalis,uniswap-5,1112132,1112744,1105103,1118549,6744,3
chrysalis-aot,uniswap-5,1107361,1103809,1100350,1117924,9309,3
scalus-cek,uniswap-5,759102,759102,759102,759102,0,1
chrysalis,uniswap-6,303673,304038,301262,305719,2251,3
chrysalis-aot,uniswap-6,303172,303101,302719,303694,491,3
scalus-cek,uniswap-6,215528,215528,215528,215528,0,1
scalus-jit,uniswap-6,53600,53600,53600,53600,0,1
chrysalis,vesting-1,410400,410297,409193,411711,1262,3
chrysalis-aot,vesting-1,400621,399994,398836,403034,2168,3
scalus-cek,vesting-1,249634,249634,249634,249634,0,1
scalus-jit,vesting-1,80645,80645,80645,80645,0,1
